link,headline,category,short_description,authors,date
https://www.huffpost.com/entry/jorge-diaz-johnston-murder-investigation_n_61e4300ae4b0d8b6656ca11b,"Florida Gay Rights Activist Found Dead In Landfill, Prompting Homicide Probe",CRIME,"Jorge Diaz-Johnston's body was found five days after he was last seen alive in Tallahassee, authorities said.",Nina Golgowski,2022-01-16
https://www.huffpost.com/entry/hostage-rabbi-synagogue-colleyville-texas_n_61e2f4eae4b0c6802ee75d9a,All Hostages Safe After Hours-Long Standoff At Texas Synagogue,CRIME,"Authorities confirmed that the suspect, who died after holding people at a synagogue near Dallas for 12 hours, was a 44-year-old British national.",Sara Boboltz and Mary Papenfuss,2022-01-15
https://www.huffpost.com/entry/dominick-black-gun-plea-deal-kyle-rittenhouse_n_61dae70de4b04b42ab80f34a,Man Who Purchased Gun For Kyle Rittenhouse Takes Plea Deal,CRIME,"Dominick Black, who bought the assault-style rifle that the underage teen used to shoot three people, agreed to plead no contest to charges he's been facing.",,2022-01-09
https://www.huffpost.com/entry/crumbley-parents-denied-reduced-bail-bid_n_61d89239e4b0d637aea1a851,Parents In Michigan School Shooting Lose Bid To Reduce Bail,CRIME,"A judge has denied a request to lower a $500,000 bail set for two parents who are charged with their son in a fatal Michigan school shooting.","Ed White, AP",2022-01-07
https://www.huffpost.com/entry/jamal-khashoggi-saudi-killers-easy-time_n_61d0ef97e4b04b42ab74bfca,Jamal Khashoggi's Saudi Killers Reportedly Doing Easy Time In Security Compound,CRIME,The accommodations renew fears that the journalist's murderers will never be held accountable for the horrific crime.,Mary Papenfuss,2022-01-02
https://www.huffpost.com/entry/john-t-earnest-sentence-poway-synagogue-shooting_n_61cb8362e4b0d637ae9127df,California Man Gets Second Life Term For Synagogue Attack,CRIME,John T. Earnest was sentenced Tuesday to life in federal prison for killing a woman and injuring three others when he burst into a Southern California synagogue in 2019.,"Elliot Spagat, AP",2021-12-28
https://www.huffpost.com/entry/judge-sentencing-kim-potter-daunte-wright_n_61c60d3be4b0c7d8b89af98e,Explainer: What Will Judge Chu Weigh In Sentencing Kim Potter?,CRIME,The former Minnesota police officer will be sentenced in February.,"Amy Forliti, AP",2021-12-24
https://www.huffpost.com/entry/kim-potter-manslaughter-verdict-daunte-wright_n_61c0e0cde4b04b42ab634cb4,Ex-Cop Kim Potter Found Guilty On Manslaughter Charges For Killing Daunte Wright,CRIME,A jury convicted the white former Brooklyn Center police officer after she fatally shot the 20-year-old Black man during a traffic stop.,Sanjana Karanth,2021-12-23
https://www.huffpost.com/entry/jeffrey-epstein-ghislaine-maxwell-trial_n_61b42da2e4b0030da7d555bf,Prosecution Rests In Sex-abuse Trial Of Ghislaine Maxwell,CRIME,"Maxwell, 59, has denied charges she groomed underage girls for Jeffrey Epstein, who killed himself in jail in 2019.","Larry Neumeister and Tom Hays, AP",2021-12-11
https://www.huffpost.com/entry/pair-of-oxford-shooting-survivors-file-100-million-lawsuits-against-district_n_61b22265e4b089ee1c30be62,Pair Of Oxford Shooting Survivors File $100 Million Lawsuit Against District,CRIME,"Two sisters, one of whom was shot in the neck, say administrators could have prevented the deadly school shooting in Michigan.",Sara Boboltz,2021-12-09
https://www.huffpost.com/entry/prison-fake-pacs-trump-biden_n_61aedc5ee4b0eb35170810d5,Nevada Man Gets 4 Years For Scams Using Fake Trump And Biden PACS,CRIME,"James Kyle Bell also set up a series of shell companies to illegally collect COVID relief funds, the Justice Department said.",Mary Papenfuss,2021-12-07
https://www.huffpost.com/entry/bc-us-beverly-hills-shooting_n_61aa10f4e4b044a1cc2236ea,"Man Arrested In Death Of Jacqueline Avant, Music Icon’s Wife, In Beverly Hills",CRIME,"A 29-year-old man has been arrested after the fatal shooting of philanthropist Jacqueline Avant, the wife of legendary music executive Clarence Avant.",,2021-12-03
https://www.huffpost.com/entry/empire-jussie-smollett-hate-crime-chicago_n_61a462d5e4b0ae9a42b03331,Actor Jussie Smollett Heads To Trial To Face Charges He Lied To Police,CRIME,"Two men say the actor paid them to stage a hate crime against him, but Smollett maintains his innocence.",Mary Papenfuss,2021-11-29
https://www.huffpost.com/entry/donations-murder-wrongful-conviction_n_61a2d2d1e4b044a1cc15e227,Donations Pour In For Missouri Man Freed After 43 Years Of Wrongful Imprisonment,CRIME,"More than $1.5 million has been raised for Kevin Strickland, who spent decades behind bars before a judge overruled his conviction.",,2021-11-28
https://www.huffpost.com/entry/san-francisco-news-crew-security-guard-shot-killed_n_61a2a9d8e4b0ae9a42af278a,News Crew Security Guard Dies After Being Shot While Helping Robbery Coverage,CRIME,Kevin Nishita was shot in the abdomen while doing his job amid an uptick in organized retail crime.,"Daisy Nguyen, AP",2021-11-27
https://www.huffpost.com/entry/elizabeth-holmes-theranos-takes-stand_n_61983947e4b0ae9a42a106db,Elizabeth Holmes Takes Stand In Theranos Criminal Fraud Trial,CRIME,"The former entrepreneur attempted to refute allegations that she bamboozled investors and patients into believing that her startup, Theranos, would reshape health care.","Michael Liedtke and Barbara Ortutay, AP",2021-11-20
https://www.huffpost.com/entry/police-in-memphis-hunt-for-suspects-in-young-dolphs-killing_n_61966bc2e4b07fe20107f496,Police In Memphis Hunt For Suspects In Young Dolph’s Killing,CRIME,"Young Dolph was in Memphis doing charity work, including visiting a cancer treatment center and giving away turkeys at a church ahead of Thanksgiving.","ADRIAN SAINZ and RYAN PEARSON, AP",2021-11-18
https://www.huffpost.com/entry/raleigh-police-detective-omar-abdullah-fired-drug-bust_n_61815688e4b03830d83850ad,North Carolina Police Detective Fired After Allegedly Planting Fake Drugs On Black Men,CRIME,The Raleigh Police Department fired Omar Abdullah after the city paid $2 million to settle a wrongful arrest suit from several of the men.,Nina Golgowski,2021-11-02
https://www.huffpost.com/entry/german-electrician-castration-trial_n_617ad64fe4b065735746378a,German Electrician On Trial For Castrating Men On His Kitchen Table,CRIME,The 66-year-old told a regional court in Munich that he performed the procedures at the men’s request.,,2021-10-28
https://www.huffpost.com/entry/prosecutor-seeking-to-indict-robert-durst-on-ex-wifes-death-ap-source_n_6161c388e4b019644425546e,Prosecutor Seeking To Indict Robert Durst On Ex-Wife's Death: AP Source,CRIME,Westchester District Attorney Mimi Rocah decided in recent days to take the case to a grand jury.,"Michael R. Sisak, AP",2021-10-09
https://www.huffpost.com/entry/kyle-rittenhouse-force-expert_n_615cc492e4b06f0ef289837d,Force Expert Says Kyle Rittenhouse's Decisions To Shoot Were Reasonable,CRIME,John Black testified that it was likely the 18-year-old suspect felt threatened by three men trying to take his gun away.,"Michael Tarm and Todd Richmond, AP",2021-10-05
https://www.huffpost.com/entry/joseph-mcclure-middletown-pennsylvania-explosives-weapons-of-mass-destruction_n_613a4cf6e4b090b79e816e1d,Pennsylvanian Charged With Having 'Weapons Of Mass Destruction' At His Home,CRIME,"The 44-year-old, accused of keeping military-grade explosives in his Middletown apartment, is being held without bond.",Sara Boboltz,2021-09-09
https://www.huffpost.com/entry/ex-marine-held-without-bond-deadly-shooting-family-florida_n_61369b91e4b04778c0089ed5,Ex-Marine Held Without Bond In Deadly Shooting Of Florida Family,CRIME,"Former military sharpshooter Bryan Riley is accused of invading the home of apparent strangers and killing a woman, her 3-month-old baby and two others.","Terry Spencer and Freida Frisaro, AP",2021-09-06
https://www.huffpost.com/entry/florida-gunman-body-armor-arrested-killing-4_n_6134fd61e4b0eab0ad9a3222,Florida Gunman In Full Body Armor Arrested After Killing 4: Police,CRIME,"Among the victims was an infant who was still in their dead mother's arms when police found them, according to Polk County authorities.","Kelli Kennedy, AP",2021-09-05
https://www.huffpost.com/entry/gunmaker-subpoenas-report-cards-sandy-hook_n_613274e7e4b04778c004e66a,Remington Subpoenas Report Cards Of Children Killed At Sandy Hook,CRIME,"Remington, which made the gun used in the 2012 massacre, has received the disciplinary records, report cards and employment records of several victims.",Sara Boboltz,2021-09-03
https://www.huffpost.com/entry/angela-gomez-mail-carrier-sentenced_n_61324839e4b0eab0ad983d00,Former Mail Carrier Gets Prison Time For Stealing Stimulus Checks,CRIME,"Angela Gomez, 40, who also stole gift and ATM cards intended for people on her route, has been sentenced to three months in prison.",,2021-09-03
https://www.huffpost.com/entry/ahmaud-arbery-prosecutor-jackie-johnson-misconduct_n_61313b4de4b0aac9c0146437,Ex-Prosecutor Indicted For Misconduct In Ahmaud Arbery Death,CRIME,Jackie Johnson is accused of using her position to shield the men who chased and killed Ahmaud Arbery from being charged with crimes immediately after the shootings.,"Russ Bynum, AP",2021-09-02
https://www.huffpost.com/entry/cbp-seize-fake-vaccination-cards-china_n_6119165fe4b0454ed70eb01c,Thousands Of Fake Vaccine Cards Seized On Way To New Orleans From China: Feds,CRIME,"Buying, selling or using a counterfeit COVID-19 vaccination card that features an official government agency seal can result in a fine and up to five years in prison.",Nina Golgowski,2021-08-15
https://www.huffpost.com/entry/air-force-blame-sutherland-springs-kelley-shooting_n_60e5e5d1e4b0588b3547f5ed,Judge: Air Force Largely At Fault For Texas Church Massacre,CRIME,"The Air Force did not properly submit Devin Patrick Kelley's criminal history to an FBI database, allowing him to legally purchase firearms used in the 2017 attack.",Nina Golgowski,2021-07-07
https://www.huffpost.com/entry/free-phone-calls-connecticut-prison_n_60cd6536e4b01af0c2706fc0,Connecticut Becomes 1st State To Make All Prison Phone Calls Free,CRIME,"Previously, the state had some of the highest prison phone rates in the country, charging up to $5 for a 15-minute call.",,2021-06-19
https://www.huffpost.com/entry/judge-approves-prosecution-deal-for-jeffrey-epstein-prison-guards_n_60ae275de4b0d56a83f1118e,Judge Approves Prosecution Deal For Jeffrey Epstein Prison Guards,CRIME,"Guards Tova Noel and Michael Thomas, who are accused of sleeping on the job on the night of Epstein's death, admitted falsifying records in the deal.","LARRY NEUMEISTER, AP",2021-05-26
https://www.huffpost.com/entry/virginia-brown-vaccination-site-protest_n_60aecbeae4b03135479fee17,Woman Protests COVID-19 Vaccine By Speeding Car Through Vaccination Site,CRIME,"Witnesses said Virginia Brown yelled ""no vaccine"" while almost hitting seven people with her SUV.",David Moye,2021-05-26
https://www.huffpost.com/entry/green-bay-wisconsin-oneida-casino-active-shooter_n_608e0e7de4b09cce6c1f407d,"2 Dead, 1 Seriously Injured In 'Targeted' Oneida Nation Casino Shooting In Wisconsin",CRIME,The suspect was shot by police and also died.,Mary Papenfuss,2021-05-02
https://www.huffpost.com/entry/victor-serriteno-priscilla-castro-arson-homicide-california-lnu-lighning-complex-fire_n_608b5fd6e4b0b9042d9072e7,"Deadly California Wildfire Was Ignited To Cover Up A Murder, Sheriff Says",CRIME,"A Vacaville man will be charged with felony arson and two additional murder charges, authorities announced.",Mary Papenfuss,2021-04-30
https://www.huffpost.com/entry/juror-brandon-mitchell-derek-chauvin-george-floyd_n_608953e7e4b02e74d221d3e6,Juror In Derek Chauvin Trial Says He 'Didn't See Any Remorse',CRIME,"“It felt like every day was a funeral,” Brandon Mitchell said of listening to testimony about George Floyd's murder.",Hayley Miller,2021-04-28
https://www.huffpost.com/entry/police-killings-chauvin-verdict_n_6080f250e4b0e7cb020a4d28,Grim List Of Deaths At Police Hands Grows After Chauvin Verdict,CRIME,"Police officers in Ohio, California and North Carolina have killed Black people since Derek Chauvin was found guilty.","Lindsay Whitehurst and Alanna Durkin Richer, AP",2021-04-22
https://www.huffpost.com/entry/anthony-thompson-knoxville-school-shooting_n_607da110e4b001abc4dfa439,A Tennessee Teen Was Killed By Police Inside His School. Here's What We Know.,CRIME,"Police said Anthony Thompson, 17, shot an officer in his school's bathroom. They then retracted the claim, but have released few other details.",Nina Golgowski,2021-04-19
https://www.huffpost.com/entry/brandon-hole-police-chief-red-flag-laws-two-semiautomatic_n_607ba489e4b09614f9b700c1,Police: Indianapolis Shooter Legally Purchased 2 Semiautomatic Rifles Despite FBI Concerns,CRIME,"The state's protective ""red flag"" law didn't keep firearms out of the shooter's hands at a critical time, according to the police chief.",Mary Papenfuss,2021-04-18
https://www.huffpost.com/entry/laplace-birthday-party-shooting_n_607c638be4b05155502603bf,9 Shot At Child's Birthday Party As Nation Faces Onslaught Of Gun Violence [UPDATE],CRIME,"The shooting outside of New Orleans, which left children between the ages of 12 and 17 wounded, started with an argument, authorities said Monday.",Nina Golgowski,2021-04-18
https://www.huffpost.com/entry/defense-medical-expert-in-chauvin-trial-car-exhaust-could-have-played-a-role_n_607728a1e4b0293a7edd7141,Defense Medical Expert In Chauvin Trial: Car Exhaust Could Have Played A Role [UPDATED],CRIME,"The expert, Dr. David Fowler, also acknowledged that it did not appear anyone ever measured George Floyd’s blood for carbon monoxide.",Sara Boboltz,2021-04-14
https://www.huffpost.com/entry/home-inspector-kevin-wayne-vanluven-elmo-doll-arrest_n_606f9ad5c5b6ed59527bfcfe,Home Inspector Accused Of Sex Act With Client's Elmo Doll,CRIME,"“This is a disgusting reminder to be cautious about who you let into your home,"" said the sheriff in Oakland County, Michigan.",David Moye,2021-04-09
https://www.huffpost.com/entry/steve-waithe-track-coach-nude-photo-scheme_n_606e1696c5b6885a6f2b61e3,Ex-Track And Field Coach Allegedly Tricks Students Into Sending Nude Photos,CRIME,Steve Waithe is accused of contacting track and field athletes and offering to help get rid of compromising photos of them he claimed he found online.,"Alanna Durkin R, AP",2021-04-07
https://www.huffpost.com/entry/ilhan-omar-derek-chauvin-trial-trauma-minneapolis_n_606a2dffc5b6c00165c29a8f,Ilhan Omar Says Derek Chauvin Trial Has ‘Unearthed So Much Trauma’ For Minneapolis,CRIME,The congresswoman who represents Minneapolis told CNN about the emotions that have resurfaced during the trial of the former officer who killed George Floyd.,Sanjana Karanth,2021-04-04
https://www.huffpost.com/entry/derek-chauvin-update-trial-details-george-floyd-killing_n_605b45fec5b65d1c28117f34,"Derek Chauvin Trial: What To Know About The Charges, Jurors And More",CRIME,The former Minneapolis police officer who knelt on George Floyd's neck faces manslaughter and murder charges in the Black man's death.,Hayley Miller,2021-03-28
https://www.huffpost.com/entry/portland-car-attack-not-terrorism_n_6010b126c5b6a08142728e5f,"Terrorism Didn’t Motivate Fatal Portland, Oregon Car Attack: Police",CRIME,"Investigators have found no evidence that terrorism, politics or any bias motivated a driver who repeatedly drove into people along the city's streets and sidewalks.",,2021-01-27
https://www.huffpost.com/entry/enrique-tarrio-proud-boys-ammo-black-lives-matter-flag-burning_n_5ff3a4b1c5b61817a538ec6e,Proud Boys Boss Enrique Tarrio Accused Of Torching Black Church's BLM Banner,CRIME,"He was also charged with illegal possession of two “high-capacity firearm magazines,” the D.C. police said.",Mary Papenfuss,2021-01-05
https://www.huffpost.com/entry/anthony-quinn-warner-rick-laude_n_5fea3b40c5b66809cb336873,Nashville Bombing Suspect Told Neighbor: The World Will Never Forget Me,CRIME,Anthony Quinn Werner reportedly made the chilling comment after the neighbor asked if  Santa was going to bring him anything good for Christmas.,"Kimberlee Kruesi, Michael Balsamo and Michael Kunzelman, AP",2020-12-28
https://www.huffpost.com/entry/rockford-illinois-3-dead-shooting_n_5fe7f71bc5b6acb534586d51,"Illinois Bowling Alley Shooting Leaves 3 Dead, 3 Injured",CRIME,"A 37-year-old male suspect was in custody after the shooting at Don Carter Lanes, Rockford police said.",,2020-12-27
https://www.huffpost.com/entry/nashville-police-confirm-identity-of-human-remains-from-christmas-explosion_n_5fe904b1c5b6ff747981fff8,Nashville Police Believe Man Responsible For Christmas Explosion Died In Blast,CRIME,"Investigators linked Anthony Quinn Warner, 63, to human remains at the bomb site in downtown Nashville using DNA. Police believe no one else is involved.",Sanjana Karanth,2020-12-27
https://www.huffpost.com/entry/bruce-bartman-charged-registering-dead-mothers-vote-trump_n_5fe1f523c5b6ff74797d6e73,Pennsylvania Man Charged With Registering Dead Relatives To Vote For Trump,CRIME,"Bruce Bartman's arrest was an isolated incident and not an indication of larger voting problems, Delaware County's top prosecutor said.",Nina Golgowski,2020-12-22
https://www.huffpost.com/entry/boston-sovereign-citizen-arrest-explosives-fbi_n_5fc1e693c5b66bb88c670ae8,Armed 'Sovereign Citizen' Busted In Boston After Buying Explosive Ingredients: FBI,CRIME,"Among his recent purchases were a 20-foot-long model rocket fuse and several accessories for a gun, which he was banned from owning.",Mary Papenfuss,2020-11-28
https://www.huffpost.com/entry/family-black-man-walter-wallace-killed-philly-cops-called-ambulance_n_5f98ae8bc5b6aab57a0d72c1,"Family Of Black Man Killed By Philly Cops Called For Ambulance, Not Police",CRIME,Civil unrest ensued after two officers fired over a dozen shots Monday at 27-year-old Walter Wallace in front of his mother for having a mental health crisis.,"Claudia Lauer, AP",2020-10-28
https://www.huffpost.com/entry/jerry-harris-child-pornography-arrest_n_5f63a289c5b6ba9eb6eb38a0,'Cheer' Star Jerry Harris Accused Of Making Child Pornography,CRIME,The FBI reportedly had been investigating whether the Netflix star solicited sexually explicit photos and sex from minors.,David Moye,2020-09-17
https://www.huffpost.com/entry/south-dakota-attorney-general-killed-man_n_5f5fc356c5b68d1b09c627d5,South Dakota’s AG Reported Hitting A Deer With His Car. He Actually Killed A Man.,CRIME,"Attorney General Jason Ravnsborg told officers he hit a deer, but investigators say he actually killed someone whose body was not found until the next day.",Sanjana Karanth,2020-09-14
https://www.huffpost.com/entry/feds-death-sentence-dzhokhar-tsarnaev_n_5f3f01b6c5b697824f966663,Feds Once Again Seeking Death Sentence For Boston Bomber Dzhokhar Tsarnaev,CRIME,Attorney General William Barr said the Justice Department will appeal a court ruling last month that tossed Tsarnaev's death sentence.,"Michael Balsamo and Alanna Durkin Richer, AP",2020-08-20
