"","SERVICETYPE","VEHICLETYPE","DEPARTURE_COUNTRY","DEPARTURE_ZIPCODE","ARRIVAL_COUNTRY","ARRIVAL_ZIPCODE","SHIPPING_DATE","GROSS_WEIGHT_KG","NET_WEIGHT_KG","VOLUME_M3","DECLARED_DISTANCE_KM","ACTUAL_DELIVERY_DATE","DELIVERY_TIME_HH","WDAY"
"89","E-commerce Resi","Standard","IT","04011","IT","63076",2023-01-02 00:00:14,0.51,0.51,0,177.34,2023-01-04 00:00:14,48,0
"90","E-commerce Resi","Standard","IT","02044","IT","63076",2023-01-02 00:00:14,0.73,0.73,0,123.01,2023-01-09 00:00:14,168,0
"91","E-commerce","Standard","IT","20121","IT","70032",2023-01-02 00:00:14,0.76,0,0.01,777.73,2023-01-05 13:20:14,85,0
"92","E-commerce","Express","IT","50123","IT","00036",2023-01-02 00:00:14,1.19,0,0.01,253.78,2023-01-04 00:00:14,48,0
"93","E-commerce","Standard","IT","50123","IT","81011",2023-01-02 00:00:14,1.17,0,0.01,371.57,2023-01-05 12:40:49,84,0
"94","E-commerce","Standard","IT","20121","IT","08100",2023-01-02 00:00:14,0.48,0,0.01,573.16,2023-01-05 13:37:14,85,0
"95","E-commerce","Standard","IT","20121","IT","71045",2023-01-02 00:00:14,2.2,0,0.01,700.3,2023-01-05 00:00:14,72,0
"96","E-commerce Resi","Standard","IT","21040","IT","63076",2023-01-02 00:00:14,0.87,0.87,0,487.85,2023-01-03 00:00:14,24,0
"97","E-commerce","Standard","IT","37121","IT","20153",2023-01-02 00:00:14,1.63,0,0.01,148.96,2023-01-04 00:00:14,48,0
"98","E-commerce","Standard","IT","20090","IT","89822",2023-01-02 00:00:14,2.1,0,0.01,967.16,2023-01-04 00:00:14,48,0
"99","Corriere espresso","Express","IT","50065","IT","58033",2023-01-02 13:37:46.583,6.2,6.1,0,98.64,2023-01-03 10:48:14,21,0
"100","Corriere espresso","Express","IT","50065","IT","43044",2023-01-02 13:40:59.217,21,20,0,146.23,2023-01-03 13:23:14,24,0
"101","Corriere espresso","Express","IT","50065","IT","47030",2023-01-02 13:42:50.91,18,17.799999,0,86.04,2023-01-03 11:15:14,22,0
"102","E-commerce","Express","IT","40124","IT","35015",2023-01-02 00:00:14,3,0,0.04,136,2023-01-04 00:00:14,48,0
"103","E-commerce Resi","Standard","IT","87036","IT","63076",2023-01-02 00:00:14,1.04,1.04,0,445.28,2023-01-05 00:00:14,72,0
"104","Corriere espresso","Express","IT","50065","IT","47030",2023-01-02 13:43:50.93,6.2,6.1,0,86.04,2023-01-03 11:15:14,22,0
"105","Corriere espresso","Express","IT","50065","IT","64020",2023-01-02 13:44:36.823,2.6,2.5,0,223.15,2023-01-03 11:00:14,22,0
"106","Corriere espresso","Express","IT","50065","IT","43044",2023-01-02 13:59:11.963,1.5,1,0,146.23,2023-01-04 09:44:14,44,0
"107","Corriere espresso","Express","IT","50065","IT","06011",2023-01-02 13:59:48.12,1,0.8,0,68.86,2023-01-03 13:12:14,24,0
"108","E-commerce Resi","Standard","IT","20135","IT","63076",2023-01-02 00:00:14,2.66,2.66,0,464.41,2023-01-04 00:00:14,48,0
"109","Corriere espresso","Express","IT","62029","IT","63821",2023-01-02 14:21:22.023,0.4,0.35,0,38.84,2023-01-09 00:00:14,154,0
"110","Corriere espresso","Express","IT","62029","IT","63812",2023-01-02 14:22:10.757,0.7,0.5,0,28.65,2023-01-03 00:00:14,10,0
"111","Corriere espresso","Express","IT","62029","IT","64011",2023-01-02 14:24:30.73,2.75,2.5,0,66.27,2023-01-03 00:00:14,10,0
"112","Corriere espresso","Express","IT","62029","IT","50068",2023-01-02 14:32:44.717,0.15,0.1,0,160.43,2023-01-04 14:55:14,48,0
"113","Corriere espresso","Express","IT","62029","IT","50058",2023-01-02 14:44:43.87,1.8,1.6,0,187.92,2023-01-04 12:15:14,46,0
"114","Corriere espresso","Express","IT","50065","IT","52027",2023-01-02 14:49:01.803,4.1,3,0.0364,24.19,2023-01-03 15:15:14,25,0
"115","Corriere espresso","Express","IT","62029","IT","56031",2023-01-02 14:52:15.603,132,122,1e-06,222.33,2023-01-09 09:47:14,163,0
"116","Corriere espresso","Express","IT","62029","IT","50055",2023-01-02 14:53:07.227,5.7,5.2,0,186.73,2023-01-03 11:14:14,21,0
"117","E-commerce Resi","Standard","IT","91011","IT","63076",2023-01-02 00:00:14,1.67,1.67,0,555.53,2023-01-05 00:00:14,72,0
"118","E-commerce Resi","Standard","IT","80070","IT","63076",2023-01-02 00:00:14,0.83,0.83,0,237.27,2023-01-04 00:00:14,48,0
"119","E-commerce Resi","Ground","US","10014","US","07008",2023-01-02 00:00:14,1.3,1.3,0,NA,2023-01-04 00:00:14,48,0
"120","E-commerce Resi","Standard","IT","87022","IT","63076",2023-01-02 00:00:14,0.05,0.05,0,417.9,2023-01-05 00:00:14,72,0
"121","E-commerce Resi","Standard","IT","06049","IT","63076",2023-01-02 00:00:14,1.37,1.37,0,91.61,2023-01-05 00:00:14,72,0
"122","E-commerce Resi","Standard","IT","80134","IT","63076",2023-01-02 00:00:14,0.72,0.72,0,233.55,2023-01-12 00:00:14,240,0
"123","E-commerce","Ground","US","10065","US","33146",2023-01-02 00:00:14,1,0,0.01,NA,2023-01-06 00:00:14,96,0
"124","E-commerce","Express Next Day","US","10065","US","32963",2023-01-02 00:00:14,1,0,0.01,NA,2023-01-05 00:00:14,72,0
"125","Corriere espresso","Express","IT","63811","IT","10036",2023-01-02 15:53:44.497,7,6,0.1683,517.29,2023-01-04 12:00:14,45,0
"126","Corriere espresso","Express","IT","63811","IT","30020",2023-01-02 15:54:02.693,1.5,0.7,0,281.64,2023-01-04 10:51:14,43,0
"127","Corriere espresso","Express","IT","20122","IT","63811",2023-01-02 16:03:36.433,0.5,0.4,0,434.81,2023-01-03 00:00:14,8,0
"128","Corriere espresso","Express","IT","20122","IT","63811",2023-01-02 16:05:41.587,0.5,0.4,0,434.81,2023-01-03 00:00:14,8,0
"129","E-commerce","Ground","US","10022","US","10075",2023-01-02 00:00:14,0.54,0,0.04,NA,2023-01-04 00:00:14,48,0
"130","E-commerce","Ground","US","10001","US","33149",2023-01-02 00:00:14,1,0,0.04,NA,2023-01-06 00:00:14,96,0
"131","E-commerce Resi","Ground","US","33483","US","07008",2023-01-02 00:00:14,1.43,1.43,0,NA,2023-01-09 00:00:14,168,0
"132","E-commerce","Ground","US","10022","US","10013",2023-01-02 00:00:14,1.58,0,0.04,NA,2023-01-04 00:00:14,48,0
"133","E-commerce Resi","Standard","IT","49377","IT","63076",2023-01-02 16:48:43.077,3,2,0.008,99.78,2023-01-09 00:00:14,152,0
"134","E-commerce","Ground","US","02116","US","91205",2023-01-02 00:00:14,0.76,0,0.04,NA,2023-01-12 00:00:14,240,0
"135","E-commerce","Standard","IT","16121","IT","95030",2023-01-02 00:00:14,0.53,0,0,918.46,2023-01-05 00:00:14,72,0
"136","E-commerce","Standard","IT","00187","IT","36015",2023-01-02 00:00:14,1,0,0.04,434.13,2023-01-05 11:08:25,83,0
"137","E-commerce","Ground","US","10022","US","40503",2023-01-02 00:00:14,1,0,0.01,NA,2023-01-05 00:00:14,72,0
"138","E-commerce Resi","Standard","IT","34151","IT","63076",2023-01-02 00:00:14,0.87,0.87,0,308.07,2023-01-05 00:00:14,72,0
"139","E-commerce Resi","Standard","IT","98124","IT","63076",2023-01-02 00:00:14,0.05,0.05,0,547.32,2023-01-11 00:00:14,216,0
"140","E-commerce Resi","Standard","IT","25062","IT","63076",2023-01-02 00:00:14,1.35,1.35,0,415.98,2023-01-12 00:00:14,240,0
"141","E-commerce Resi","Standard","IT","89020","IT","63076",2023-01-02 00:00:14,1.34,1.34,0,533.72,2023-01-12 00:00:14,240,0
"142","E-commerce Resi","Ground","US","10580","US","07008",2023-01-02 00:00:14,1.14,1.14,0,NA,2023-01-06 00:00:14,96,0
"143","E-commerce Resi","Ground","US","11101","US","07008",2023-01-02 00:00:14,1.13,1.13,0,NA,2023-01-04 00:00:14,48,0
"144","E-commerce","Ground","US","77056","US","29585",2023-01-02 00:00:14,0.05,0,0.04,NA,2023-01-06 00:00:14,96,0
"145","E-commerce","Ground","US","33154","US","10001",2023-01-02 00:00:14,0.66,0,0.01,NA,2023-01-07 00:00:14,120,0
"146","E-commerce Resi","Standard","IT","24127","IT","63076",2023-01-02 00:00:14,0.87,0.87,0,453.03,2023-01-05 00:00:14,72,0
"147","E-commerce","Ground","US","92626","US","77479",2023-01-02 00:00:14,1,0,0.01,NA,2023-01-06 00:00:14,96,0
"148","E-commerce Resi","Ground","US","02482","US","07008",2023-01-02 00:00:14,1.99,1.99,0,NA,2023-01-11 00:00:14,216,0
"149","E-commerce Resi","Standard","IT","80122","IT","63076",2023-01-02 00:00:14,0.87,0.87,0,235.25,2023-01-05 00:00:14,72,0
"150","E-commerce","Ground","US","90210","US","33131",2023-01-02 00:00:14,1.2,0,0.01,NA,2023-01-10 00:00:14,192,0
"151","E-commerce","Standard","IT","90141","IT","33018",2023-01-02 00:00:14,2,0,0.04,932.7,2023-01-09 14:16:14,182,0
"152","E-commerce","Ground","US","90210","US","06807",2023-01-02 00:00:14,1.52,0,0.01,NA,2023-01-10 00:00:14,192,0
"153","E-commerce","Express","IT","70121","IT","53043",2023-01-02 00:00:14,1,0,0.01,458.38,2023-01-04 00:00:14,48,0
"154","E-commerce","Ground","US","92626","US","92130",2023-01-02 00:00:14,1,0,0.01,NA,2023-01-04 00:00:14,48,0
"155","E-commerce","Ground","US","75225","US","14750",2023-01-02 00:00:14,1.07,0,0.04,NA,2023-01-09 00:00:14,168,0
"156","E-commerce","Standard","IT","24122","IT","57025",2023-01-02 00:00:14,0.45,0,0.01,315.85,2023-01-04 00:00:14,48,0
"157","E-commerce","Ground","US","90210","US","33458",2023-01-02 00:00:14,1,0,0.01,NA,2023-01-10 00:00:14,192,0
"158","E-commerce","Ground","US","10001","US","92037",2023-01-02 00:00:14,0.05,0,0.04,NA,2023-01-10 00:00:14,192,0
"159","E-commerce Resi","Standard","IT","06132","IT","63076",2023-01-02 00:00:14,1.12,1.12,0,122.49,2023-01-05 00:00:14,72,0
"160","E-commerce","Standard","IT","09124","IT","31030",2023-01-02 00:00:14,1,0,0.01,765.52,2023-01-09 10:56:03,178,0
"161","E-commerce","Standard","IT","09124","IT","05031",2023-01-02 00:00:14,1,0,0.01,484.65,2023-01-10 13:54:10,205,0
"162","E-commerce Resi","Standard","IT","00043","IT","63076",2023-01-02 00:00:14,0.91,0.91,0,160.58,2023-01-05 00:00:14,72,0
"163","E-commerce Resi","Standard","IT","60011","IT","63076",2023-01-02 00:00:14,1.07,1.07,0,97.04,2023-01-04 00:00:14,48,0
"164","E-commerce","Ground","US","89109","US","60625",2023-01-02 00:00:14,2,0,0.01,NA,2023-01-11 00:00:14,216,0
"165","E-commerce","Express 2nd Day","US","10022","US","11221",2023-01-02 00:00:14,1.07,0,0.09,NA,2023-01-04 00:00:14,48,0
"166","E-commerce Resi","Standard","IT","89026","IT","63076",2023-01-02 00:00:14,0.53,0.53,0,524.36,2023-01-11 00:00:14,216,0
"167","E-commerce","Ground","US","33154","US","32835",2023-01-03 00:00:14,2.84,0,0.04,NA,2023-01-06 00:00:14,72,1
"168","E-commerce Resi","Ground","US","10128","US","07008",2023-01-03 00:00:14,0.74,0.74,0,NA,2023-01-06 00:00:14,72,1
"169","E-commerce","Ground","US","98004","US","10019",2023-01-03 00:00:14,1.52,0,0.04,NA,2023-01-12 00:00:14,216,1
"170","E-commerce Resi","Ground","US","11223","US","07008",2023-01-03 00:00:14,1.09,1.09,0,NA,2023-01-04 00:00:14,24,1
"171","E-commerce","Standard","IT","63076","IT","80121",2023-01-03 00:00:14,1.01,0,0.01,234.53,2023-01-04 00:00:14,24,1
"172","E-commerce","Standard","IT","63076","IT","84010",2023-01-03 00:00:14,1.11,0,0.01,245.6,2023-01-05 12:09:33,60,1
"173","E-commerce","Standard","IT","63076","IT","00151",2023-01-03 00:00:14,1.3,0,0.01,163.74,2023-01-05 00:00:14,48,1
"174","E-commerce","Standard","IT","63076","IT","80078",2023-01-03 00:00:14,1.82,0,0.01,234.89,2023-01-04 00:00:14,24,1
"175","E-commerce","Standard","IT","63076","IT","25050",2023-01-03 00:00:14,1.17,0,0.01,420.54,2023-01-04 00:00:14,24,1
"176","Via gomma","Standard","IT","63076","IT","06121",2023-01-03 08:30:59.153,92.06,82.36,0.89,119.25,2023-01-12 00:00:14,208,1
"177","Via gomma","Standard","IT","63076","IT","24026",2023-01-03 08:30:59.153,8.26,7.36,0.18,448.7,2023-01-05 00:00:14,40,1
"178","Via gomma","Standard","IT","63076","IT","26100",2023-01-03 08:30:59.153,9.02,7.65,0.18,393.08,2023-01-05 00:00:14,40,1
"179","Via gomma","Standard","IT","63076","IT","86100",2023-01-03 08:30:59.153,11.46,10.37,0.11,166.04,2023-01-10 00:00:14,160,1
"180","Via gomma","Standard","IT","63076","IT","05100",2023-01-03 08:30:59.153,12.38,10.94,0.12,105.22,2023-01-12 00:00:14,208,1
"181","Via gomma","Standard","IT","63076","IT","46100",2023-01-03 08:30:59.153,33.6,30.56,0.23,348.76,2023-01-04 00:00:14,16,1
"182","Via gomma","Standard","IT","63076","IT","70121",2023-01-03 08:30:59.153,8.2,7.3,0.2,321.49,2023-01-11 00:00:14,184,1
"183","Via gomma","Standard","IT","63076","IT","74123",2023-01-03 08:30:59.153,12.74,11.64,0.11,390.98,2023-01-11 00:00:14,184,1
"184","Via gomma","Standard","IT","63076","IT","47841",2023-01-03 08:30:59.153,11.48,10,0.23,146.13,2023-01-11 00:00:14,184,1
"185","Via gomma","Standard","IT","63076","IT","30022",2023-01-03 08:30:59.153,23.4,21.25,0.17,322.32,2023-01-10 00:00:14,160,1
"186","Via gomma","Standard","IT","63076","IT","25121",2023-01-03 08:30:59.153,171.48,154.42,1.52,409.28,2023-01-05 00:00:14,40,1
"187","Via gomma","Standard","IT","63076","IT","35042",2023-01-03 08:30:59.153,16.18,14.68,0.15,310.27,2023-01-04 00:00:14,16,1
"188","Via gomma","Standard","IT","63076","IT","46100",2023-01-03 08:30:59.153,43.9,39.59,0.37,348.76,2023-01-04 00:00:14,16,1
"189","Via gomma","Standard","IT","63076","IT","61122",2023-01-03 08:30:59.153,15.98,14.79,0.12,132.82,2023-01-11 00:00:14,184,1
"190","Via gomma","Standard","IT","63076","IT","21052",2023-01-03 08:30:59.153,15.42,14.19,0.11,497.12,2023-01-05 00:00:14,40,1
"191","Via gomma","Standard","IT","63076","IT","00185",2023-01-03 08:30:59.153,82.54,75.15,0.7,157.84,2023-01-12 00:00:14,208,1
"192","Via gomma","Standard","IT","63076","IT","22100",2023-01-03 08:30:59.153,145,131.5,1.26,496.03,2023-01-05 00:00:14,40,1
"193","Via gomma","Standard","IT","63076","IT","76011",2023-01-03 08:30:59.153,10.04,9.18,0.07,289.06,2023-01-11 00:00:14,184,1
"194","Via gomma","Standard","IT","63076","IT","00183",2023-01-03 08:30:59.153,17.12,15.77,0.14,159.03,2023-01-11 00:00:14,184,1
"195","Via gomma","Standard","IT","63076","IT","30020",2023-01-03 08:30:59.153,416.1,383.75,4.62,318.67,2023-01-09 00:00:14,136,1
"196","Via gomma","Standard","IT","63076","IT","26010",2023-01-03 08:30:59.153,148.08,135.47,1.31,426.2,2023-01-05 00:00:14,40,1
